GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Información y Documentación","Recursos de Información","Recursos de Información","Ciencias Sociales y Jurídicas","Fuentes de Información",es,
"Grado en Información y Documentación","Gestión de Documentos","Gestión de Documentos","Ciencias Sociales y Jurídicas","Gestión Técnica de Documentos de Archivo",es,
"Grado en Información y Documentación","Sistemas Informáticos","Sistemas Informáticos","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,
"Grado en Información y Documentación","Sistemas Automatizados en Unidades de Información","Sistemas Automatizados en Unidades de Información","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,"<p>Greenstone.</p>&#13;&#13;<p>Zotero.</p>&#13;"
"Grado en Información y Documentación",Bibliometría,Bibliometría,"Ciencias Sociales y Jurídicas","Fundamentos y Metodologías de Investigación",es,
"Grado en Información y Documentación","Sistemas de Representación y Procesamiento de la Información","Sistemas de Representación y Procesamiento","Ciencias Sociales y Jurídicas","Representación y Recuperación de la Información",es,
"Grado en Información y Documentación","Archivos Electrónicos","Archivos Electrónicos","Ciencias Sociales y Jurídicas","Gestión Técnica de Documentos de Archivo",es,
"Grado en Información y Documentación","Documentación Digital","Documentación Digital","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,"<ul>&#13;	<li>Microsoft Visual Studio Code: <a href="https://code.visualstudio.com">https://code.visualstudio.com</a></li>&#13;</ul>&#13;"
"Grado en Información y Documentación","Técnicas de Recuperación de Información","Técnicas de Recuperación de Información","Ciencias Sociales y Jurídicas","Representación y Recuperación de la Información",es,
"Grado en Información y Documentación","Tecnologías Web para Servicios de Información","Tecnologías Web para Servicios de Información","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,
"Grado en Información y Documentación","Metodología de la Investigación en Información y Documentación","Metodología de la Investigación en Información y Documentación","Ciencias Sociales y Jurídicas","Fundamentos y Metodologías de Investigación",es,
"Grado en Información y Documentación","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas",es,
"Grado en Información y Documentación","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Información y Documentación","Técnicas Avanzadas de Recuperación y Representación de la Información","Técnicas Avanzadas de Recuperación y Representación de la Información","Ciencias Sociales y Jurídicas","Materias Complementarias de Representación y Recuperación de la Información",es,
"Grado en Información y Documentación","Inglés para la Documentación","Inglés para la Documentación","Ciencias Sociales y Jurídicas","Materias Complementarias Optativas",es,
"Grado en Información y Documentación","El Libro Antiguo","El Libro Antiguo","Ciencias Sociales y Jurídicas","Materias Complementarias Optativas",es,
"Grado en Información y Documentación","Técnicas Historiográficas y Patrimonio Documental","Técnicas Historiográficas y Patrimonio Documental","Ciencias Sociales y Jurídicas","Materias Complementarias Optativas",es,
"Grado en Información y Documentación","Nuevas Tendencias en los Servicios de Información","Nuevas Tendencias en los Servicios de Información","Ciencias Sociales y Jurídicas","Materias Complementarias Optativas",es,
"Grado en Información y Documentación","Evaluación del Uso y Acceso a la Información","Evaluación del Uso y Acceso a la Información","Ciencias Sociales y Jurídicas","Planificación, Organización y Evaluación de Unidades de Información",es,
"Grado en Información y Documentación","Fundamentos de la Programación","Fundamentos de Programación","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,
"Grado en Información y Documentación","Análisis y Evaluación de los Sistemas de Documentación para las Empresas","Análisis y Evaluación de los Sistemas de Documetación para las Empresas","Ciencias Sociales y Jurídicas","Planificación, Organización y Evaluación de Unidades de Información",es,
"Grado en Información y Documentación","Formación de Usuarios y Dinamización Cultural","Formación de Usuarios y Dinamización Cultural","Ciencias Sociales y Jurídicas","Fuentes de Información",es,
"Grado en Información y Documentación","Vigilancia Tecnológica  e Inteligencia Competitiva","Vigilancia Tecnológica e Inteligencia Competitiva","Ciencias Sociales y Jurídicas","Fuentes de Información",es,
"Grado en Información y Documentación","Aplicaciones para Sistemas de Documentación para las Empresas","Aplicaciones para Sistemas de Documentación para las Empresas","Ciencias Sociales y Jurídicas","Tecnologías de la Información y Edición Digital",es,"<p>* Odoo</p>&#13;&#13;<p>* MediaWiki</p>&#13;&#13;<p>* SugarCRM</p>&#13;"
"Grado en Información y Documentación","Analítica y Marketing Web","Analítica y Marketing Web","Ciencias Sociales y Jurídicas","Fundamentos y Metodologías de Investigación",es,
"Grado en Información y Documentación","Sistemas de Metadatos","Sistemas de Metadatos","Ciencias Sociales y Jurídicas","Materias Complementarias de Representación y Recuperación de la Información",es,
"Grado en Información y Documentación","Tratamiento Masivo de Datos","Tratamiento Masivo de Datos","Ciencias Sociales y Jurídicas","Materias Complementarias de Representación y Recuperación de la Información",es,
"Grado en Información y Documentación","Diseño de Sistemas de Documentación para las Empresas","Diseño de Sistemas de Documentación para las Empresas","Ciencias Sociales y Jurídicas","Gestión Técnica de Documentos de Archivo",es,
"Grado en Ingeniería Civil","Teoría de Estructuras","Ingeniería de Estructuras","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil","Procedimientos de Construcción I","Tecnología de la Construcción e Impacto Ambiental","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil","Seguridad y Salud en las Obras de Construcción","Tecnología de la Construcción e Impacto Ambiental","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil","Ingenieria Marítima y Costera (Especialidad Construcciones Civiles)","Ingeniería Marítima y Costera","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Geotecnia de Obras Civiles (Especialidad Construcciones Civiles)","Geotecnia de Obras Civiles","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Hormigón Armado","Ingeniería de Estructuras","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil","Análisis de Estructuras","Análisis de Estructuras","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Civil","Ingeniería Ambiental y Calidad de Aguas (Especialidad Hidrología)","Tecnología del Medio Ambiente","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Ampliación de Hidráulica e Hidrología (Especialidad Hidrología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Sistemas de Transporte (Especialidad Transportes y Servicios Urbanos)","Ingeniería del Transporte","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Urbanística y Ordenación del Territorio (Especialidad Transportes y Servicios Urbanos)","Ordenación del Territorio","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Caminos (Especialidad Construcciones Civiles)","Infraestructuras del Transporte (E. Constr. Civiles)","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Ingeniería Sanitaria en la Construcción Civil  (Especialidad Construcciones Civiles)","Tecnología del Medio Ambiente","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Ingeniería Sanitaria (Especialidad Hidrología)","Tecnología del Medio Ambiente","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Sistemas Energéticos (Especialidad Hidrología)","Sistemas Energéticos","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Caminos y Aeropuertos (Especialidad Transportes y Servicios Urbanos)","Infraestructuras del Transporte (E. Transportes y Serv. Urbanos)","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Urbanismo (Especialidad Transportes y Servicios Urbanos)","Ordenación del Territorio","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Obras Hidráulicas I (Especialidad Hidrología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Estructuras Metálicas","Ingeniería de Estructuras","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil","Organización y Gestión de Proyectos","Organización y Gestión de Proyectos","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Civil","Edificación (Especialidad Construcciones Civiles)","Edificación y Prefabricación","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Elementos Prefabricados (Especialidad Construcciones Civiles)","Edificación y Prefabricación","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Procedimientos de Construcción II  (Especialidad Construcciones Civiles)","Procedimientos de Construcción","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Hidráulica Litoral (Especialidad Hidrología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Ingeniería Sanitaria Urbana (Especialidad Transportes y Servicios Urbanos)","Tecnología del Medio Ambiente","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Intermodalidad: Infraestructuras y Servicios (Especialidad Transportes y Servicios Urbanos)","Ingeniería del Transporte","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Ferrocarriles (Especialidad Construcciones Civiles)","Infraestructuras del Transporte (E. Constr. Civiles)","Ingeniería y Arquitectura","Tecnología Específica de Construcciones Civiles",es,
"Grado en Ingeniería Civil","Gestión Integral de Puertos y Costas (Especialidad Transportes y Servicios Urbanos)","Gestión Integral de Puertos y Costas","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Ferrocarriles y Transporte Guiado (Especialidad Transportes y Servicios Urbanos)","Infraestructuras del Transporte (E. Transportes y Serv. Urbanos)","Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Luminotecnia (Especialidad Transportes y Servicios Urbanos)",Luminotecnia,"Ingeniería y Arquitectura","Tecnología Específica de Transportes y Servicios Urbanos",es,
"Grado en Ingeniería Civil","Obras  Hidráulicas II (Especialidad Hidrología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Planificación Hidrológica (Especialidad Hidrología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Hidrogeología y Gestión de Acuíferos (Especialidad Hidrogeología)","Ingeniería Hidráulica","Ingeniería y Arquitectura","Tecnología Específica de Hidrología",es,
"Grado en Ingeniería Civil","Trabajo Fin de Grado","Trabajo Fin de Grado","Ingeniería y Arquitectura","Trabajo Fin de Grado",es,
"Grado en Ingeniería Civil","Prácticas Externas","Prácticas Externas","Ingeniería y Arquitectura","Optatividad Común",es,
"Grado en Ingeniería Civil (Plan 2023)",Cálculo,Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Álgebra Lineal y Geometría",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Fundamentos de Ingeniería Gráfica","Expresión Gráfica","Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Fundamentos de Informática",Informática,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)",Geología,Geología,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Geometría Diferencial",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)",Estadística,Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)",Física,Física,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Organización y Gestión de Empresas de Ingeniería",Empresa,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería Civil (Plan 2023)","Ciencia y Tecnología de Materiales","Ciencia y Tecnología de los  Materiales","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil (Plan 2023)","Mecánica en la Ingeniería",Física,"Ingeniería y Arquitectura","Materias Básicas",es,"<p>Python</p>&#13;"
"Grado en Ingeniería Civil (Plan 2023)","Ingeniería Geomática, Sistemas de Información Geográfica y Topografía",Topografía,"Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,"<p>- RTK Lib</p>&#13;&#13;<p>- QGIS</p>&#13;&#13;<p>- Mission Planner Ardu Pilot</p>&#13;&#13;<p>- QField</p>&#13;&#13;<p>- WebODM</p>&#13;&#13;<p>- Cloud Compare</p>&#13;"
"Grado en Ingeniería Civil (Plan 2023)","Mecánica del Suelo y Rocas","Ingeniería del Terreno","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil (Plan 2023)",Electrotecnia,Electrotecnia,"Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil (Plan 2023)","Métodos Numéricos","Ampliación de Matemáticas","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Civil (Plan 2023)","Teoría de Estructuras","Ingeniería de Estructuras","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil (Plan 2023)","Hidráulica e Hidrología","Hidráulica e Hidrología","Ingeniería y Arquitectura","Formación Común a la Rama Civil",es,
"Grado en Ingeniería Civil (Plan 2023)","Ingeniería Gráfica Asistida por Ordenador","Expresión Gráfica II","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería Civil (Plan 2023)","Planificación Territorial y Urbana","Planificación Territorial","Ingeniería y Arquitectura","Complementos Obligatorios",es,"<p>QGIS</p>&#13;"
"Grado en Ingeniería Civil (Plan 2023)","Comunicación Efectiva y Trabajo en Equipo","Competencias Transversales","Ingeniería y Arquitectura","Complementos Obligatorios",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Análisis Matemático",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Álgebra Lineal y Geometría",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,"<p><a href="https://octave.org/">GNU Octave </a></p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Análisis de Circuitos","Circuitos Electrónicos y Sistemas Lineales","Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Fundamentos de Informática",Informática,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Ingeniería, Empresa y Sociedad","Fundamentos Tecnológicos y Empresariales","Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Ecuaciones Diferenciales y Cálculo Numérico",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Estadística y Optimización",Matemáticas,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Componentes y Circuitos Electrónicos","Circuitos Electrónicos y Sistemas Lineales","Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas Lineales","Circuitos Electrónicos y Sistemas Lineales","Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Fundamentos Físicos de la Ingeniería",Física,"Ingeniería y Arquitectura","Materias Básicas",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Teoría de la Comunicación","Comunicaciones Analógicas y Digitales","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Transmisión de Ondas","Comunicaciones Analógicas y Digitales","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas Telemáticos","Redes y Servicios de Telecomunicaciones","Ingeniería y Arquitectura","Materias Comunes",es,"<p>Se utiliza el siguiente software libre, específicamente en la parte práctica de la asignatura:</p>&#13;&#13;<ul>&#13;	<li>Virtualbox</li>&#13;	<li>Linux y aplicaciones de escritorio de Linux</li>&#13;	<li>Apache web server</li>&#13;	<li>OpenLDAP</li>&#13;	<li>Bind DNS server</li>&#13;	<li>Postfix email server</li>&#13;	<li>Courier IMAP / POP</li>&#13;	<li>OpenSSH server</li>&#13;	<li>Pidgin</li>&#13;	<li>Ejabberd</li>&#13;</ul>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Fundamentos de Programación","Redes y Servicios de Telecomunicaciones","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Comunicaciones I","Comunicaciones Analógicas y Digitales","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Señales Digitales","Comunicaciones Analógicas y Digitales","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Electrónica Digital","Tecnología Electrónica","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Electrónica Analógica","Tecnología Electrónica","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Infraestructuras y Redes de Comunicación","Redes y Servicios de Telecomunicaciones","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Comunicaciones II","Comunicaciones Analógicas y Digitales","Ingeniería y Arquitectura","Materias Comunes",es,"<p>GNU Octave.</p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Electrónica de Potencia","Tecnología Electrónica","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas Electrónicos Digitales","Tecnología Electrónica","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Transmisión de Datos y Redes de Computadores","Redes y Servicios de Telecomunicaciones","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas de Conmutación","Redes y Servicios de Telecomunicaciones","Ingeniería y Arquitectura","Materias Comunes",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Tratamiento Digital de Señales (Especialidad Sistemas de Telecomunicación)","Tratamiento de la Información","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas de Codificación y Almacenamiento (Especialidad Sistemas de Telecomunicación)","Tratamiento de la Información","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Medios y Componentes Ópticos para Comunicaciones (Especialidad Sistemas de Telecomunicación)","Tecnologías de Transmisión Óptica","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Antenas y Propagación (Especialidad Sistemas de Telecomunicación)","Tecnologías de Radiotransmisión","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas de Radiocomunicación (Especialidad Sistemas de Telecomunicación)","Tecnologías de Radiotransmisión","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Desarrollo de Aplicaciones en Red (Especialidad Telemática)","Servicios y Aplicaciones Telemáticos","Ingeniería y Arquitectura",Telemática,es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Seguridad en Redes de Comunicación (Especialidad Telemática)","Servicios y Aplicaciones Telemáticos","Ingeniería y Arquitectura",Telemática,es,"<p>Se utiliza, entre otros paquetes posibles, el siguiente software libre:</p>&#13;&#13;<ul>&#13;	<li>&#13;	<p>Apache web server</p>&#13;	</li>&#13;	<li>&#13;	<p>GnuPG</p>&#13;	</li>&#13;	<li>&#13;	<p>Malwarebytes</p>&#13;	</li>&#13;	<li>&#13;	<p>MariaDB</p>&#13;	</li>&#13;	<li>&#13;	<p>Metasploit Framework</p>&#13;	</li>&#13;	<li>&#13;	<p>ModSecurity</p>&#13;	</li>&#13;	<li>&#13;	<p>OpenSSH</p>&#13;	</li>&#13;	<li>&#13;	<p>OpenSSL</p>&#13;	</li>&#13;	<li>&#13;	<p>OpenVPN</p>&#13;	</li>&#13;	<li>&#13;	<p>Sistema operativo Linux (distribuciones Kali y Ubuntu), con las aplicaciones de escritorio asociadas.</p>&#13;	</li>&#13;	<li>&#13;	<p>Snort IDS</p>&#13;	</li>&#13;	<li>&#13;	<p>SqlMap</p>&#13;	</li>&#13;	<li>&#13;	<p>Thunderbird</p>&#13;	</li>&#13;	<li>&#13;	<p>Virtualbox</p>&#13;	</li>&#13;	<li>&#13;	<p>WebScarab</p>&#13;	</li>&#13;	<li>&#13;	<p>WinGate</p>&#13;	</li>&#13;</ul>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Complementos de Programación (Especialidad Telemática)","Servicios y Aplicaciones Telemáticos","Ingeniería y Arquitectura",Telemática,es,"<p>- Kit de desarrollo de Java (JDK)</p>&#13;&#13;<p>- Netbeans</p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Redes Inalámbricas y Movilidad (Especialidad Telemática)","Arquitecturas y Redes de Servicios","Ingeniería y Arquitectura",Telemática,es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Gestión de Redes (Especialidad Telemática)","Diseño y Planificación de Redes","Ingeniería y Arquitectura",Telemática,es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Circuitos Electrónicos para Radiofrecuencia  (Especialidad Sistemas Electrónicos)","Electrónica de Alta Frecuencia","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Electrónica de Microondas  (Especialidad Sistemas Electrónicos)","Electrónica de Alta Frecuencia","Ingeniería y Arquitectura","Sistemas Electrónicos",es,"<p>QUCS (Quasi-Universal Circuit Simulator): <a href="https://qucs.sourceforge.net/">https://qucs.sourceforge.net/</a></p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Instrumentación Electrónica  (Especialidad Sistemas Electrónicos)","Instrumentación y Control","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Diseño de Circuitos y Sistemas Electrónicos (Especialidad Sistemas Electrónicos)","Ingeniería de Equipos Electrónicos","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas de Alimentación (Especialidad Sistemas Electrónicos)","Ingeniería de Equipos Electrónicos","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Comunicaciones Ópticas (Especialidad Sistemas de Telecomunicación)","Tecnologías de Transmisión Óptica","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Comunicaciones Inalámbricas (Especialidad Sistemas de Telecomunicación)","Técnicas de Telecomunicación","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Televisión y Radio Digital(Especialidad Sistemas de Telecomunicación)","Técnicas de Telecomunicación","Ingeniería y Arquitectura","Sistemas de Telecomunicación",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Redes de Acceso y Corporativas (Especialidad Telemática)","Arquitecturas y Redes de Servicios","Ingeniería y Arquitectura",Telemática,es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Redes Multimedia (Especialidad Telemática)","Arquitecturas y Redes de Servicios","Ingeniería y Arquitectura",Telemática,es,"<ul>&#13;	<li>Servidores SIP para VoIP: Kamailio.</li>&#13;	<li>Clientes de VoIP: Twinkle.</li>&#13;	<li>Sistema operativo basado en Linux.</li>&#13;	<li>Wireshark.</li>&#13;</ul>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Diseño y Dimensionado de Redes (Especialidad Telemática)","Diseño y Planificación de Redes","Ingeniería y Arquitectura",Telemática,es,"<p>Octave, NFDump, lenguajes de scripting, SO linux</p>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Circuitos Integrados para Comunicaciones (Especialidad Sistemas Electrónicos)","Electrónica de Alta Frecuencia","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Sistemas de Control  (Especialidad Sistemas Electrónicos)","Instrumentación y Control","Ingeniería y Arquitectura","Sistemas Electrónicos",es,"<ul>&#13;	<li><a href="https://www.scilab.org/">Scilab/Xcos</a>. Scilab es un oftware para análisis numérico, con un lenguaje de programación de alto nivel para cálculo científico. Xcos es un entorno grafico de Scilab para simulación de sistemas dinámicos y resolución de sistemas de ecuaciones diferenciales.</li>&#13;	<li><a href="https://www.home-assistant.io/">Home Assistant</a>. Plataforma de automatización del hogar que prioriza el control local y la privacidad.</li>&#13;	<li><a href="https://esphome.io/">ESPHome</a>. Herramienta para domótica de programación de microcontroladores ESP mediante archivos de configuración simples pero potentes.</li>&#13;	<li><a href="https://www.arduino.cc/en/software">Arduino IDE</a>. Entorno de desarrollo integrado de Arduino, una plataforma electrónica basada en hardware y software de uso sencillo.</li>&#13;	<li><a href="https://tasmota.github.io/docs/">Tasmota</a>. Firmware de código abierto para dispositivos ESP.</li>&#13;	<li><a href="https://mosquitto.org/">Eclipse Mosquitto</a>. Broker de mensajes que implementa el protocolo de mensajería simple <strong>MQTT</strong> (Message Queuing Telemetry Transport).</li>&#13;	<li><a href="https://nodered.org/">Node-RED</a>. Herramienta de desarrollo basada en flujo y programación visual para conectar dispositivos de hardware, API y servicios en línea como parte del IoT.</li>&#13;	<li><a href="https://www.influxdata.com/">InfluxDB</a>. Base de datos para series temporales.</li>&#13;	<li><a href="https://grafana.com/">Grafana</a>. Herramienta de monitorización de datos métricos.</li>&#13;	<li><a href="https://github.com/espressif/esp-matter">Espressif's SDK for Matter</a>. Marco de desarrollo oficial de Matter para los SoC de la serie ESP32.</li>&#13;</ul>&#13;"
"Grado en Ingeniería de Tecnologías de Telecomunicación","Equipos Electrónicos  (Especialidad Sistemas Electrónicos)","Ingeniería de Equipos Electrónicos","Ingeniería y Arquitectura","Sistemas Electrónicos",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Trabajo Fin de Grado","Trabajo Fin de Grado","Ingeniería y Arquitectura","Trabajo Fin de Grado",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Fundamentos de Fotónica","Formación Complementaria Interdisciplinar","Ingeniería y Arquitectura","Formación Complementaria Interdisciplinar",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Física Aplicada a las Telecomunicaciones","Formación Complementaria Interdisciplinar","Ingeniería y Arquitectura","Formación Complementaria Interdisciplinar",es,
"Grado en Ingeniería de Tecnologías de Telecomunicación","Complementos de Análisis Matemático","Formación Complementaria Interdisciplinar","Ingeniería y Arquitectura","Formación Complementaria Interdisciplinar",es,
