GRADO,ASIGNATURA,materia,rama,modulo,idioma,software_libre
"Grado en Relaciones Laborales y Recursos Humanos","Elementos de Derecho Público",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos",Economía,Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Sociología y Técnicas de Investigación Social",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Historia de las Relaciones Laborales",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Teoría de las Relaciones Laborales",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Administración de Empresas",Empresa,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos",Estadística,Estadística,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Psicología del Trabajo y de las Organizaciones",Psicología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho de la Empresa",Derecho,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho del Trabajo I","Derecho del Trabajo","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho de la Seguridad Social I","Derecho de la Seguridad Social","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho Sindical","Derecho Sindical","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Dirección y Gestión de Personal","Dirección y Gestión de Personal","Ciencias Sociales y Jurídicas","Organización del Trabajo, Dirección y Gestión de Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Organización del Trabajo","Organización del Trabajo","Ciencias Sociales y Jurídicas","Organización del Trabajo, Dirección y Gestión de Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho del Trabajo II","Derecho del Trabajo","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho de la Seguridad Social II","Derecho de la Seguridad Social","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Sociología del Trabajo y de las Organizaciones","Sociología del Trabajo y de las Organizaciones","Ciencias Sociales y Jurídicas","Sociología del Trabajo y de las Organizaciones",es,
"Grado en Relaciones Laborales y Recursos Humanos","Sistemas de Relaciones Laborales","Sistemas de Relaciones Laborales","Ciencias Sociales y Jurídicas","Sistemas de Relaciones Laborales",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho Administrativo Laboral","Derecho Administrativo Laboral","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Políticas de Empleo y de Protección Social","Políticas de Empleo y de Protección Social","Ciencias Sociales y Jurídicas","Políticas Sociolaborales",es,
"Grado en Relaciones Laborales y Recursos Humanos","Gestión del Conflicto","Gestión del Conflicto","Ciencias Sociales y Jurídicas","Gestión del Conflicto",es,
"Grado en Relaciones Laborales y Recursos Humanos","Economía del Trabajo","Economía del Trabajo","Ciencias Sociales y Jurídicas","Economía del Trabajo",es,
"Grado en Relaciones Laborales y Recursos Humanos","Dirección Estratégica de la Empresa","Dirección Estratégica de la Empresa: Economía Mundial y de España","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","Políticas de Gestión de Recursos Humanos","Políticas de Gestión de Recursos Humanos","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Prevención de Riesgos Laborales","Prevención de Riesgos Laborales","Ciencias Sociales y Jurídicas","Salud Laboral y Prevención de Riesgos Laborales",es,
"Grado en Relaciones Laborales y Recursos Humanos","Desarrollo de Personas y Grupos en las Organizaciones","Desarrollo de Personas y Grupos en las Organizaciones","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho Procesal Laboral","Derecho Procesal Laboral","Ciencias Sociales y Jurídicas","Marco Normativo de las Relaciones Laborales y de la Seguridad Social",es,
"Grado en Relaciones Laborales y Recursos Humanos","Dirección Estratégica de Recursos Humanos","Dirección Estratégica de Recursos Humanos","Ciencias Sociales y Jurídicas","Organización del Trabajo, Dirección y Gestión de Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Auditoría de Recursos Humanos","Auditoría de Recursos Humanos","Ciencias Sociales y Jurídicas","Organización del Trabajo, Dirección y Gestión de Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Políticas Públicas Sociolaborales","Políticas Públicas Sociolaborales","Ciencias Sociales y Jurídicas","Políticas Sociolaborales",es,
"Grado en Relaciones Laborales y Recursos Humanos","Intervención en Riesgos Psicosociales","Intervención en Riesgos Psicosociales","Ciencias Sociales y Jurídicas","Salud Laboral y Prevención de Riesgos Laborales",es,
"Grado en Relaciones Laborales y Recursos Humanos","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Relaciones Laborales y Recursos Humanos","Contabilidad General","Contabilidad General","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","Contabilidad Financiera y de Gestión","Contabilidad Financiera y de Gestión","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","La Empresa ante el Derecho Tributario","La Empresa ante el Derecho Tributario","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","Régimen Jurídico de los Impuestos Empresariales","Régimen Jurídico de los Impuestos Empresariales","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","Métodos Estadísticos para la Gestión de Recursos Humanos","Métodos Estadísticos para la Gestión de Recursos Humanos","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Gestión Informatizada Laboral y de Seguridad Social","Gestión Informatizada Laboral y de Seguridad Social","Ciencias Sociales y Jurídicas","Aplicación de Herramientas Informáticas",es,
"Grado en Relaciones Laborales y Recursos Humanos","Género y Políticas de Igualdad en el Ordenamiento Laboral","Género y Políticas de Igualdad en el Ordenamiento Laboral","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Historia del Trabajo","Historia del Trabajo","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Régimen Jurídico de los Trabajadores Extranjeros en España","Régimen Jurídico de los Trabajadores Extranjeros en España","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Protección Jurisdiccional del Derecho de Crédito","Protección Jurisdiccional del Derecho de Crédito (Granada)","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Derecho Penal del Trabajo","Derecho Penal del Trabajo","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Mediación y Arbitraje en Derecho Privado","Mediación y Arbitraje en Derecho Privado","Ciencias Sociales y Jurídicas","Marco Social y Jurídico Específico",es,
"Grado en Relaciones Laborales y Recursos Humanos","Selección y Formación de Personal","Selección y Formáción de Personal","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Gestión de la Calidad y Recursos Humanos","Gestión de la Calidad y Recursos Humanos","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Gestión de los Sistemas de Retribución","Gestión de los Sistemas de Retribución","Ciencias Sociales y Jurídicas","Recursos Humanos",es,
"Grado en Relaciones Laborales y Recursos Humanos","Entorno Económico: Economía Mundial y de España","Entorno Económico: Economía Mundial y de España","Ciencias Sociales y Jurídicas","Entorno Económico, Estrategia Empresarial, Contabilidad y Fiscalidad",es,
"Grado en Relaciones Laborales y Recursos Humanos","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas",es,
"Grado en Relaciones Laborales y Recursos Humanos (Mel.)","Trabajo Fin de Grado","Trabajo Fin de Grado","Ciencias Sociales y Jurídicas","Trabajo Fin de Grado",es,
"Grado en Relaciones Laborales y Recursos Humanos (Mel.)","Informática de Soporte a Interacción Laboral","Informática de Soporte a Interacción Laboral","Ciencias Sociales y Jurídicas","Aplicación de Herramientas Informáticas",es,
"Grado en Relaciones Laborales y Recursos Humanos (Mel.)","Prácticas Externas","Prácticas Externas","Ciencias Sociales y Jurídicas","Prácticas Externas",es,
"Grado en Sociología","Introducción a la Sociología: Acción-Individuo",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Ciencia Política","Ciencia Política","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Historia Social y Política Contemporánea",Historia,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Fundamentos del Trabajo Social","Trabajo Social","Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Antropología Social",Antropología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Sociología General: Instituciones y Procesos",Sociología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Análisis Descriptivo de Datos en Sociología","Análisis Descriptivo de Datos en Sociología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,"<p>Se utilizará el programa R (extensiones R-Commander o R-Studio), el software libre líder para el análisis de datos en el ámbito de la academia y la empresa.</p>&#13;"
"Grado en Sociología","Psicología Social",Psicología,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Economía Política",Economía,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Técnicas de Producción de Información Cuantitativa en Sociología","Técnicas de Producción de Información Cuantitativa en Sociología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,
"Grado en Sociología","Conceptos, Teorías y Métodos en la Investigación Sociológica","Conceptos, Teorías y Métodos en la Investigación Sociológica","Ciencias Sociales y Jurídicas","Teoría y Fundamentos Sociológicos",es,
"Grado en Sociología","Sociología de la Educación",Educación,"Ciencias Sociales y Jurídicas","Formación Básica",es,
"Grado en Sociología","Sociología del Trabajo","Sociología del Trabajo","Ciencias Sociales y Jurídicas","Sociología Aplicada al Ámbito del Trabajo y las Organizaciones",es,
"Grado en Sociología","Estructura Social Contemporánea","Estructura Social Contemporánea","Ciencias Sociales y Jurídicas","Estructura y Cambio Social",es,
"Grado en Sociología","Técnicas de Producción de Información Cualitativa en Sociología","Técnicas de Producción de Información Cualitativa en Sociología","Ciencias Sociales y Jurídicas","Métodos y Técnicas de Investigación Social",es,
